module,variables,tables,read_start_date,write_start_date,write_end_date,read_window,write_window,max_min_history,dependencies
daily_spine,43,derived_daily_spine,2026-04-27,2026-05-17,2026-05-26,20,10,1,
price_technical,13,derived_price_technical,2025-03-23,2026-05-17,2026-05-26,420,10,250,daily_spine
volume_liquidity,11,derived_volume_liquidity,2025-11-18,2026-05-17,2026-05-26,180,10,60,daily_spine
return_momentum,13,derived_return_momentum,2025-03-23,2026-05-17,2026-05-26,420,10,250,daily_spine
volatility_risk,10,derived_volatility_risk,2025-05-22,2026-05-17,2026-05-26,360,10,120,daily_spine;return_momentum
trading_constraint,11,derived_trading_constraint,2026-03-18,2026-05-17,2026-05-26,60,10,20,daily_spine
valuation_size,20,derived_valuation_size,2026-04-27,2026-05-17,2026-05-26,20,10,1,daily_spine
financial_asof,27,derived_financial_asof,2025-08-30,2026-05-17,2026-05-26,260,10,1,
financial_quality,114,derived_financial_quality,2025-08-30,2026-05-17,2026-05-26,260,10,1,financial_asof
financial_growth,252,derived_financial_growth,2025-08-30,2026-05-17,2026-05-26,260,10,1,financial_asof
capital_flow,53,derived_capital_flow,2025-09-09,2026-05-17,2026-05-26,250,10,120,daily_spine
sector_concept_context,101,derived_sector_concept_context,2024-12-13,2026-05-17,2026-05-26,520,10,1,daily_spine;return_momentum
index_market_context,102,derived_index_market_context,2024-12-13,2026-05-17,2026-05-26,520,10,1,daily_spine;return_momentum
cross_sectional,1060,derived_cross_sectional;derived_cross_sectional_full_v,2024-12-13,2026-05-17,2026-05-26,520,10,1,daily_spine;price_technical;volume_liquidity;return_momentum;volatility_risk;trading_constraint;valuation_size;financial_quality;financial_growth;capital_flow;sector_concept_context;index_market_context
corporate_action,150,corporate_action_event_timeline_v;derived_corporate_action;derived_corporate_action_full_v,2022-12-04,2026-05-17,2026-05-26,1260,10,1250,financial_asof
ownership_governance,106,derived_ownership_governance;derived_ownership_governance_full_v;ownership_governance_event_timeline_v,2022-12-04,2026-05-17,2026-05-26,1260,10,250,financial_asof
composite_state,128,composite_state_condition_detail_v;composite_state_module_coverage_v;derived_composite_state;derived_composite_state_full_v,2025-09-09,2026-05-17,2026-05-26,250,10,1,price_technical;volume_liquidity;return_momentum;volatility_risk;valuation_size;financial_quality;capital_flow;sector_concept_context;index_market_context;cross_sectional
