table_name,estimated_size
concept_basic,2637
concept_member,34498
financial_balance_raw,272851
financial_cashflow_raw,297640
financial_disclosure_schedule,270515
financial_dividend_raw,163213
financial_event_raw,16395356
financial_income_raw,294441
financial_indicator_raw,253013
index_basic_info,23088
index_daily,64022
index_weight,2899616
margin_detail,6534753
metadata_source_api,2239488
metadata_task_failure,4
metadata_task_state,187929
northbound_daily,2720
northbound_holding,5679046
pledge_stat,2204384
stock_adj_factor,15653891
stock_basic_info,17549
stock_company_info,12542
stock_daily,15367273
stock_daily_basic,15275986
stock_limit_price,17632016
stock_moneyflow_daily,14243108
stock_status_history,6175
sw_industry_classify,1022
sw_industry_member,6428
top_inst_detail,2504331
top_list_daily,242848
trade_calendar,23010
